Inbred line,Accesion N,N GBS samples,N Plants,Avg. IBS,% missing,Breeding program,Pop structure,Complete_name,Kernel color,S6_82170011,S6_82170814,S6_82170859,S6_82170897,S6_82170900,S6_82170957,S6_82171038,S6_82174349,S6_82174376,S6_82174378,S6_82176123,S6_82185767,S6_82185973,S6_82186654,S6_82186661,S6_82217770,S6_82217918,S6_82218018,S6_82218044,S6_82218219,S6_82243856,S6_82243861,S6_82243874,S6_82243883
6103,PI601159,1,1,,0.42,ExPVP,unclassified,PI601159:81FE7ABXX:3:C12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
78004,PI601210,2,2,0.997,0.38,ExPVP,stiff stalk,PI601210:81FENABXX:1:E10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
78010,PI601211,1,1,,0.55,ExPVP,unclassified,PI601211:81N4HABXX:7:A2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
87014,PI550920,1,1,,0.64,Other,tropical,PI550920:81FE8ABXX:3:B4,0,1,0.902,0.902,0,1,0.902,1,1,1,0.902,1,1,0.902,0.902,0.902,1,1,0.902,0.902,0.902,0.902,0.902,0.902,0.902
87036,PI550922,1,1,,0.56,Other,tropical,PI550922:81N4HABXX:4:F9,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
88030,PI550919,1,1,,0.63,Other,tropical,PI550919:81N4HABXX:5:D1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
88091,PI550901,1,1,,0.46,Other,tropical,PI550901:81FE8ABXX:2:E11,0,0.937,1,1,0,1,1,0.937,1,1,1,1,0.937,0.937,1,1,1,1,1,1,1,0.937,0.937,0.937,0.937
88094,PI550917,1,1,,0.63,Other,tropical,PI550917:81N4HABXX:4:D11,0,0.752,0.752,0.752,0,1,0.752,1,1,1,0.752,1,0,0,1,1,0.752,1,0.752,0.752,1,0.752,0.752,0.752,0.752
88098,PI550902,1,1,,0.74,Other,tropical,PI550902:81N4HABXX:5:A1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
88099,PI550913,1,1,,0.77,Other,tropical,PI550913:81FE8ABXX:3:E3,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
89199,PI550903,1,1,,0.6,Other,tropical,PI550903:81FE8ABXX:3:D1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
89207,PI550904,1,1,,0.48,Other,tropical,PI550904:81FE8ABXX:3:H2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
89246,PI550905,1,1,,0.73,Other,tropical,PI550905:81FE8ABXX:3:B1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
89248,PI550906,1,1,,0.5,Other,tropical,PI550906:81FE8ABXX:2:B12,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
89258,PI550907,1,1,,0.65,Other,tropical,PI550907:81N4HABXX:5:C1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
89260,PI550908,1,1,,0.54,Other,tropical,PI550908:81N4HABXX:4:H4,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
89274,PI550900,1,1,,0.51,Other,tropical,PI550900:81FE8ABXX:2:H1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
89291,PI550909,1,1,,0.71,Other,tropical,PI550909:81N4HABXX:5:E3,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
89302,PI550911,1,1,,0.54,Other,tropical,PI550911:81N4HABXX:5:F2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
89311,PI550916,1,1,,0.61,Other,tropical,PI550916:81FE8ABXX:1:G10,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
89365,PI561618,1,1,,0.73,Other,tropical,PI561618:81FE8ABXX:3:F3,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
90143,PI561601,1,1,,0.51,Other,tropical,PI561601:81N4HABXX:4:B12,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
90147,PI561602,1,1,,0.61,Other,tropical,PI561602:81FE8ABXX:2:E5,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
90156,PI561603,1,1,,0.5,Other,tropical,PI561603:81FE8ABXX:2:F9,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
90176,PI561604,1,1,,0.54,Other,tropical,PI561604:81N4HABXX:4:H7,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
90183,PI561605,1,1,,0.63,Other,tropical,PI561605:81FE8ABXX:3:F2,0,0.909,1,0.909,0.909,0.909,0,0.909,1,1,0.909,0.909,1,0.909,1,1,1,1,1,1,0.909,0.909,0.909,0.909,0.909
90188,PI561606,1,1,,0.58,Other,tropical,PI561606:81FE8ABXX:3:A2,0,0.902,1,1,0,1,0.902,1,1,1,0.902,0.902,1,0.902,0.902,0.902,1,1,0.902,0.902,0.902,0.902,0.902,0.902,0.902
90204,PI561607,1,1,,0.58,Other,tropical,PI561607:81FE8ABXX:2:C9,0,0.909,0.909,0.909,0,1,0.909,1,1,1,1,1,1,1,0.909,0.909,1,1,0.909,0.909,0.909,0.909,0.909,0.909,0.909
90220,PI561609,1,1,,0.53,Other,tropical,PI561609:81FE8ABXX:2:G11,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
90263,PI561610,1,1,,0.56,Other,tropical,PI561610:81FE8ABXX:2:B7,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
90301,PI561613,1,1,,0.7,Other,tropical,PI561613:81FE8ABXX:2:B3,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
90313,PI561614,1,1,,0.66,Other,tropical,PI561614:81FE8ABXX:2:G1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13B-587-68A,PI358522,1,1,,0.57,Other,sweet corn,PI358522:81FENABXX:5:F8,0,1,1,0.921,0,1,1,0.921,1,1,1,0.921,1,0.921,1,1,0.921,0.921,1,1,0.921,0.921,0.921,0.921,0.921
1416-1,Ames29448,1,1,,0.8,Other,unclassified,Ames29448:D0D0BACXX:4:A6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1497-2,Ames29394,1,1,,0.63,Other,unclassified,Ames29394:81FENABXX:5:A6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14H-588-68B,PI358523,1,1,,0.6,Other,sweet corn,PI358523:81FE8ABXX:6:F10,0,0.858,0.858,0.858,0.858,0.858,1,1,0.858,0.858,1,0.858,0.858,1,0.858,0.858,0,1,0.858,0.858,1,0.858,0.858,0.858,0.858
197A-381-68A,PI358526,1,1,,0.7,Other,sweet corn,PI358526:81FENABXX:3:E3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21-396-68B,PI358535,1,1,,0.52,Other,sweet corn,PI358535:81FE8ABXX:6:E12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27A-317-68C,PI358525,1,1,,0.62,Other,sweet corn,PI358525:81FE8ABXX:6:E6,0,0.917,1,1,0,1,1,0.917,0.917,0.917,0.917,1,1,0.917,1,1,0.917,1,1,1,0.917,0.917,0.917,0.917,0.917
29MIBZ2,PI548830,1,1,,0.88,ExPVP,unclassified,PI548830:D0D0BACXX:3:C8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2FACC,PI601808,1,1,,0.64,ExPVP,stiff stalk,PI601808:81FE8ABXX:1:F5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2KM368INBRED,PI267166,1,1,,0.59,Other,unclassified,PI267166:81FENABXX:6:D4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2MA22,PI601560,1,1,,0.92,ExPVP,non-stiff stalk,PI601560:81N4HABXX:6:H5,1,0.858,0.858,0.858,0.858,0.858,0.858,0.858,0.858,0.858,0.858,1,1,0.858,1,1,0,0.858,1,1,0.858,0.858,0.858,0.858,0.858
3IBZ2,PI554616,1,1,,0.85,ExPVP,unclassified,PI554616:D0D0BACXX:3:E3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
442A-431-68D,PI358528,1,1,,0.5,Other,sweet corn,PI358528:81FENABXX:1:G10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4528.INBRED,PI415077,1,1,,0.6,Other,unclassified,PI415077:81FENABXX:6:B6,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4533.INBRED,PI415078,1,1,,0.67,Other,unclassified,PI415078:81FENABXX:7:H4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4537.INBRED,PI415079,1,1,,0.73,Other,unclassified,PI415079:81FE8ABXX:4:B3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4550.INBRED,PI415080,1,1,,0.6,Other,unclassified,PI415080:81FENABXX:7:C3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4554INBRED,PI415082,1,1,,0.53,Other,unclassified,PI415082:81FENABXX:6:E8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4578INBRED,PI415086,1,1,,0.5,Other,unclassified,PI415086:81FE8ABXX:5:B6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4580INBRED,PI415087,1,1,,0.52,Other,unclassified,PI415087:81FE8ABXX:5:D12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4581INBRED,PI415088,1,1,,0.57,Other,unclassified,PI415088:81FE8ABXX:4:G7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4655INBRED,PI415089,1,1,,0.65,Other,unclassified,PI415089:81FENABXX:6:F6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4659INBRED,PI415090,1,1,,0.6,Other,unclassified,PI415090:81FE8ABXX:4:B5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4664INBRED,PI415091,1,1,,0.49,Other,unclassified,PI415091:81FENABXX:6:F9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4676A,PI601300,2,2,0.996,0.56,ExPVP,stiff stalk,PI601300:81FE8ABXX:1:B9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4F-182BS11,PI198889,1,1,,0.5,Argentina,unclassified,PI198889:81FENABXX:4:E8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4F-345CN12,PI198902,1,1,,0.51,Argentina,unclassified,PI198902:81FENABXX:5:F4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4N506,PI601745,1,1,,0.62,ExPVP,stiff stalk,PI601745:81FE7ABXX:6:C6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5120B,NSL30905,1,1,,0.7,Other,unclassified,NSL30905:81FE7ABXX:4:C4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
58609A632MethBc5S4,PI648424,1,1,,0.68,Other,stiff stalk,PI648424:81N4HABXX:6:D1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
58611InbredA632,PI648423,1,1,,0.52,Other,stiff stalk,PI648423:81N4HABXX:5:D12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
58612InbredB73,PI648426,1,1,,0.71,Other,stiff stalk,PI648426:81FE7ABXX:6:E3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
58613B73MethBc5S4,PI648427,1,1,,0.41,Other,stiff stalk,PI648427:81FE7ABXX:4:C11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
58614B73MethBc5S4,PI648428,1,1,,0.46,Other,unclassified,PI648428:81N4HABXX:7:C9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
58615B73MethBc5S4,PI648429,1,1,,0.5,Other,stiff stalk,PI648429:81FENABXX:1:H2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
58802Mo17MethBcS3,PI648431,1,1,,0.48,Other,unclassified,PI648431:81FE7ABXX:5:D7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
58803Mo17MethBcS3,PI648432,1,1,,0.65,Other,non-stiff stalk,PI648432:81FENABXX:2:D1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
58804Mo17MethBcS3,PI648433,1,1,,0.7,Other,unclassified,PI648433:81FENABXX:2:C6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
676A-348-68B,PI358532,2,2,0.997,0.45,Other,sweet corn,PI358532:81N4HABXX:5:B11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6F629,PI546483,1,1,,0.86,ExPVP,unclassified,PI546483:D0D0BACXX:3:E8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6M502,PI601561,1,1,,0.55,ExPVP,non-stiff stalk,PI601561:81FE7ABXX:4:D7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6M502A,PI546484,1,1,,0.86,ExPVP,unclassified,PI546484:D0D0BACXX:3:G2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
78002A,PI601301,1,1,,0.66,ExPVP,stiff stalk,PI601301:81FE7ABXX:4:A1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
78371A,PI601438,1,1,,0.48,ExPVP,non-stiff stalk,PI601438:81N4HABXX:6:A12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
78551S,PI601562,1,1,,0.54,ExPVP,non-stiff stalk,PI601562:81FENABXX:3:A12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
80-2,PI369437,1,1,,0.57,Other,unclassified,PI369437:81FE8ABXX:3:D11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
83IBI3,PI555651,1,1,,0.85,ExPVP,non-stiff stalk,PI555651:D0D0BACXX:3:A9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
87916W,PI601563,2,2,0.993,0.6,ExPVP,stiff stalk,PI601563:81N4HABXX:6:B3,0,0.665,0.665,0.665,0.665,0.665,0.665,0.665,0.665,0.665,0.665,0.665,0,0,0.665,0.665,1,0.665,1,1,1,0.665,0.665,0.665,0.665
89S4107,Ames12816,1,1,,0.86,Other,unclassified,Ames12816:D0D0BACXX:3:H9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
89S4110,Ames12817,2,2,0.997,0.62,Other,unclassified,Ames12817:81FE8ABXX:1:D5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
89S4117,Ames12818,2,2,0.993,0.43,Other,unclassified,Ames12818:81N4HABXX:6:H9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
89S4127,Ames12820,1,1,,0.64,Other,unclassified,Ames12820:81N4HABXX:6:F1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
89S4154,Ames12822,1,1,,0.58,Other,unclassified,Ames12822:81N4HABXX:6:G5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A116,Ames23394,1,1,,0.6,Minnesota,unclassified,Ames23394:81FENABXX:3:H1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A12,NSL42873,2,2,0.996,0.59,Minnesota,unclassified,NSL42873:81FE8ABXX:1:E8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A13-2INBREDPOTCHEFSTROOMPEARL,PI221733,1,1,,0.53,South Africa,unclassified,PI221733:81FE7ABXX:7:B8,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A14INBREDPOTCHEFSTROOMPEARL,PI221734,1,1,,0.52,South Africa,unclassified,PI221734:81N4HABXX:3:D4,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A14NW,PI406106,1,1,,0.49,South Africa,unclassified,PI406106:81FE7ABXX:4:H10,0,0.598,1,0.598,0.598,0.598,0.598,0,0,1,0.598,1,0.598,0.598,0.598,0.598,0.598,0.598,0.598,0.598,0.598,0.598,0.598,0.598,0.598
A15,Ames23389,1,1,,0.5,Minnesota,unclassified,Ames23389:81FE8ABXX:1:B10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A15-1INBREDPOTCHEFSTROOMPEARL,PI221735,1,1,,0.45,South Africa,unclassified,PI221735:81N4HABXX:3:F9,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A152,Ames23395,1,1,,0.53,Minnesota,unclassified,Ames23395:81FENABXX:4:C10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A155,Ames23396,1,1,,0.59,Minnesota,unclassified,Ames23396:81FE8ABXX:5:B4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A158,Ames23397,1,1,,0.59,Minnesota,unclassified,Ames23397:81FENABXX:3:D6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A16-3-2INBREDPOTCHEFSTROOMPEARL,PI221736,1,1,,0.49,South Africa,unclassified,PI221736:81FE7ABXX:7:B11,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A165,NSL42877,1,1,,0.52,Minnesota,non-stiff stalk,NSL42877:81FE8ABXX:5:B7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A166,Ames23398,1,1,,0.47,Minnesota,unclassified,Ames23398:81FENABXX:2:E9,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A166N,PI406109,1,1,,0.64,South Africa,unclassified,PI406109:81FE7ABXX:2:C7,1,1,1,1,1,1,0.902,1,0.902,0.902,1,0.902,1,0.902,0.902,0.902,0,0.902,0.902,0.902,1,0.902,0.902,0.902,0.902
A171,NSL42878,1,1,,0.54,Minnesota,unclassified,NSL42878:81FE8ABXX:6:F7,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A17-1-1INBREDPOTCHEFSTROOMPEARL,PI221737,2,2,0.998,0.48,South Africa,unclassified,PI221737:81FE7ABXX:6:D10,1,1,1,0.909,0.909,0.909,1,1,1,1,0.909,1,1,0.909,0.909,0.909,0,0.909,1,1,0.909,0.909,0.909,0.909,0.909
A178N,PI406110,1,1,,0.66,South Africa,unclassified,PI406110:81N4HABXX:3:G3,1,0.799,1,0.799,0.799,0.799,1,1,0.799,0.799,0.799,0.799,1,0.799,0.799,0.799,0,0.799,0.799,0.799,0.799,0.799,0.799,0.799,0.799
A201,Ames23399,1,1,,0.77,Minnesota,unclassified,Ames23399:81N4HABXX:3:C6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A203,Ames23400,1,1,,0.57,Minnesota,unclassified,Ames23400:81FENABXX:7:D5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A204,Ames23401,1,1,,0.58,Minnesota,unclassified,Ames23401:81FE8ABXX:5:G7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A20-4INBREDHICKORYKING,PI221738,1,1,,0.52,South Africa,unclassified,PI221738:81N4HABXX:2:D12,0,1,0.902,1,0,1,1,1,1,1,0.902,0.902,0.902,0.902,0.902,0.902,0.902,1,0.902,0.902,1,0.902,0.902,0.902,0.902
